departure_airport,arrival_airport,air_time
ABE,ATL,113.64150943396227
ABE,DTW,85.0
ABE,ORD,111.42553191489361
ABI,DFW,38.892857142857146
ABQ,ATL,158.27272727272728
ABQ,BWI,203.31746031746033
ABQ,CLT,173.96153846153845
ABQ,DAL,84.83333333333333
ABQ,DEN,68.72093023255815
ABQ,DFW,89.8409090909091
ABQ,HOU,107.9
ABQ,IAH,107.725
ABQ,JFK,214.74576271186442
ABQ,LAS,77.82352941176471
ABQ,LAX,102.1951219512195
ABQ,MCI,92.5
ABQ,MCO,199.26666666666668
ABQ,MDW,142.72916666666666
ABQ,MSP,126.125
ABQ,OAK,130.72727272727272
ABQ,ORD,142.02
ABQ,PDX,157.26190476190476
ABQ,PHX,63.15151515151515
ABQ,SAN,96.69444444444444
ABQ,SEA,167.82
ABQ,SFO,135.46341463414635
ABQ,SLC,81.32352941176471
ABR,MSP,48.61538461538461
ABY,ATL,41.12903225806452
ACK,BOS,25.833333333333332
ACK,DCA,72.53333333333333
ACK,JFK,47.535714285714285
ACT,DFW,32.27272727272727
ACV,SFO,61.26086956521739
ACY,ATL,107.34375
ACY,BOS,54.51724137931034
ACY,DTW,88.4074074074074
ACY,FLL,140.88888888888889
ACY,MCO,127.91666666666667
ACY,MYR,74.53571428571429
ACY,ORD,114.19354838709677
ACY,PBI,134.72093023255815
ACY,RSW,149.1764705882353
ACY,TPA,135.60416666666666
ADK,ANC,152.12121212121212
ADQ,ANC,42.0
AEX,ATL,84.85714285714286
AEX,DFW,64.74358974358974
AEX,IAH,46.06060606060606
AGS,ATL,45.4
AGS,LGA,91.0
AKN,ANC,47.57142857142857
ALB,ATL,135.05263157894737
ALB,BWI,63.0
ALB,CLT,115.54385964912281
ALB,DEN,227.55555555555554
ALB,DTW,85.84210526315789
ALB,EWR,40.68
ALB,FLL,175.8
ALB,IAD,69.66666666666667
ALB,LAS,306.61971830985914
ALB,MCO,160.33898305084745
ALB,MDW,116.94
ALB,MSP,144.25641025641025
ALB,ORD,118.87037037037037
ALB,RSW,179.25
ALB,TPA,167.09259259259258
ALO,ORD,47.17391304347826
AMA,DAL,63.114285714285714
AMA,DEN,71.53846153846153
AMA,DFW,58.138888888888886
AMA,IAH,88.41304347826087
AMA,LAS,111.03225806451613
ANC,ADK,172.61111111111111
ANC,ADQ,48.869565217391305
ANC,AKN,47.07692307692308
ANC,ATL,385.09090909090907
ANC,BET,68.19354838709677
ANC,BRW,103.41935483870968
ANC,CDV,33.92307692307692
ANC,DEN,277.01785714285717
ANC,DFW,346.175
ANC,DLG,54.53333333333333
ANC,EWR,384.6666666666667
ANC,FAI,43.666666666666664
ANC,HNL,345.5217391304348
ANC,IAH,371.7317073170732
ANC,JNU,88.425
ANC,KOA,349.03333333333336
ANC,LAS,279.7894736842105
ANC,LAX,284.66153846153844
ANC,LGB,287.9024390243902
ANC,MSP,288.1311475409836
ANC,OGG,346.8888888888889
ANC,OME,84.16129032258064
ANC,ORD,335.80281690140845
ANC,OTZ,87.17142857142858
ANC,PDX,194.32758620689654
ANC,PHX,301.1666666666667
ANC,SCC,89.51851851851852
ANC,SEA,184.77777777777777
ANC,SFO,248.69565217391303
ANC,SLC,244.25806451612902
APN,DTW,48.58064516129032
ASE,ATL,160.03030303030303
ASE,DEN,38.875
ASE,DFW,98.46666666666667
ASE,IAH,125.61111111111111
ASE,LAX,111.06818181818181
ASE,MSP,104.85714285714286
ASE,ORD,132.15
ASE,SFO,121.18181818181819
ATL,ABE,99.12820512820512
ATL,ABQ,178.0
ATL,ABY,35.26923076923077
ATL,ACY,92.42307692307692
ATL,AEX,87.92857142857143
ATL,AGS,33.5
ATL,ALB,111.07894736842105
ATL,ANC,426.5121951219512
ATL,ASE,197.84615384615384
ATL,ATW,110.375
ATL,AUS,126.14545454545454
ATL,AVL,45.121212121212125
ATL,AVP,93.93103448275862
ATL,AZO,87.125
ATL,BDL,112.97826086956522
ATL,BHM,41.0
ATL,BMI,87.58974358974359
ATL,BNA,49.75757575757576
ATL,BOS,131.3181818181818
ATL,BQK,49.4
ATL,BTR,79.5
ATL,BTV,121.175
ATL,BUF,97.4
ATL,BWI,94.34615384615384
ATL,BZN,221.24324324324326
ATL,CAE,44.241379310344826
ATL,CAK,79.03030303030303
ATL,CHA,31.678571428571427
ATL,CHO,71.25
ATL,CHS,54.37837837837838
ATL,CID,108.71739130434783
ATL,CLE,85.87179487179488
ATL,CLT,55.270833333333336
ATL,CMH,75.14634146341463
ATL,COS,167.57142857142858
ATL,CRW,63.73529411764706
ATL,CSG,30.625
